Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-04-14,Off-plan Transaction,"Pearlz by Danube, Al Furjan",Apartment,1209000.0,1061,1139,0,2 Bed,False,False,5,,True,Danube,Unit-512,nan
2023-04-14,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1615465.0,1186,1362,0,2 Bed,False,False,,,False,,,nan
2023-04-14,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1754330.0,1202,1459,0,2 Bed,False,False,,,False,,,nan
2023-04-14,Off-plan Transaction,"PG Upperhouse, Al Furjan",Apartment,840000.0,911,923,0,1 Bed,False,False,8,,True,,Unit-806,nan
2023-04-14,Off-plan Transaction,"Pearlz by Danube, Al Furjan",Apartment,892000.0,1319,676,0,1 Bed,False,False,8,,True,Danube,Unit-807,nan
2023-04-14,Off-plan Transaction,"Pearlz by Danube, Al Furjan",Apartment,1267860.0,1123,1129,0,2 Bed,False,False,9,,True,Danube,Unit-910,nan
2023-04-13,Secondary Transaction,"Avenue Residence 2, Avenue Residence, Al Furjan",Apartment,1465000.0,726,2018,0,3 Bed,False,False,4,,True,Al Jaziri Brothers,Unit-409,nan
2023-04-13,Secondary Transaction,"Candace Acacia, Azizi Residence, Al Furjan",Apartment,392650.0,1046,376,0,Studio,False,False,3,,True,Azizi Developments,"Hotel Apartment, Unit-310",nan
2023-04-13,Secondary Transaction,"Samia Azizi, Al Furjan",Apartment,798700.0,883,904,0,1 Bed,False,False,,,True,Azizi Developments,Unit-1208,nan
2023-12-04,Secondary Transaction,"Montrell, Al Furjan",Apartment,468650.7,1033,454,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-124",nan
2023-12-04,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,1599264.0,1180,1355,0,2 Bed,False,False,,,False,,,nan
2023-12-04,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,993241.0,1207,823,0,1 Bed,False,False,,,False,,,nan
2023-12-04,Secondary Transaction,"Candace Aster, Azizi Residence, Al Furjan",Apartment,350000.0,935,374,0,Studio,False,False,4,,True,Azizi Developments,"Hotel Apartment, Unit-412",nan
2023-12-04,Off-plan Transaction,"AZIZI Berton, Al Furjan",Apartment,398180.0,1050,379,0,Studio,False,False,6,,True,Azizi Developments,"Hotel Apartment, Unit-603",nan
